,Name,Price,Product Link,Image
0,Max,559,https://www.amazon.in/Max-Mens-Solid-T-Shirt-SP20CNTRI01_Multicolor_XL/dp/B08353WQBT?dchild=1,https://m.media-amazon.com/images/I/81nqtPBlV8L._AC_UL320_.jpg
1,Max,382,https://www.amazon.in/Max-Mens-Solid-Slim-AMPSP2001HSYGREEN_Green/dp/B08353RFB8?dchild=1,https://m.media-amazon.com/images/I/81DBzxLgzjL._AC_UL320_.jpg
2,Jockey,469,https://www.amazon.in/Jockey-Regular-T-Shirt-2715-105_Navy-Green_Large/dp/B01LASV324?dchild=1,https://m.media-amazon.com/images/I/71bH-FKqSmL._AC_UL320_.jpg
3,US Polo Association,839,https://www.amazon.in/US-Polo-Association-Regular-USTS5782_USPA/dp/B077Y4ZKS8?dchild=1,https://m.media-amazon.com/images/I/81LGkFoaeeL._AC_UL320_.jpg
4,KIPA,60,https://www.amazon.in/KIPA-Invisible-Round-Neck-T-Shirt/dp/B0899HDH2S?dchild=1,https://m.media-amazon.com/images/I/51O+1V5feOL._AC_UL320_.jpg
5,Mascot,799,https://www.amazon.in/MASCOT-T-Shirts-Creations-Large-Multicolour/dp/B073MKNJCR?dchild=1,https://m.media-amazon.com/images/I/61trjq5idML._AC_UL320_.jpg
6,Van Heusen Athleisure,459,https://www.amazon.in/Van-Heusen-T-Shirt-8907670964477_60001_Blue-Melange_L/dp/B073WC56W7?dchild=1,https://m.media-amazon.com/images/I/816oB6fba5L._AC_UL320_.jpg
7,Katso,299,https://www.amazon.in/Katso-Cotton-Hooded-T-Shirt-Katso-Hood-Full-Black-M/dp/B01HQ4O058?dchild=1,https://m.media-amazon.com/images/I/71SOM8sevLL._AC_UL320_.jpg
8,Wrath,429,https://www.amazon.in/Wrath-Daredevil-T-Shirt-Black-Large/dp/B07RRQKQ1B?dchild=1,https://m.media-amazon.com/images/I/61rsI2I4AiL._AC_UL320_.jpg
9,Amazon Brand - Symbol,449,https://www.amazon.in/Amazon-Brand-Symbol-Striper-AW17MPCSP3_L_Sky/dp/B073X3Y7DG?dchild=1,https://m.media-amazon.com/images/I/81hxztM1LiL._AC_UL320_.jpg
10,AELOMART,489,https://www.amazon.in/AELOMART-Mens-Regular-T-Shirt-AMT1125-L_Olive_Large/dp/B082G3S7GC?dchild=1,https://m.media-amazon.com/images/I/71kIhgERsfL._AC_UL320_.jpg
11,EYEBOGLER,449,https://www.amazon.in/Seven-Rocks-Buttoned-Melange-M-Ntb-Nm_Navy_Melange/dp/B075KJ84KM?dchild=1,https://m.media-amazon.com/images/I/619Y3gwSpXL._AC_UL320_.jpg
12,Peppyzone,399,https://www.amazon.in/Lion-Camouflage-Cotton-T-Shirt-Green_XL-Large/dp/B07455NNTM?dchild=1,https://m.media-amazon.com/images/I/61ow8ecYpHL._AC_UL320_.jpg
13,Chromozome,199,https://www.amazon.in/Chromozome-OS9-Mens-T-Shirt-8902733390354_OS9-Catalineblue-L/dp/B073ZK2JLY?dchild=1,https://m.media-amazon.com/images/I/81724dCTGbL._AC_UL320_.jpg
14,Urban Army,349,https://www.amazon.in/Urban-Army-Regular-T-Shirt-ALpha_LineAveng_Black_Large/dp/B083FXSPVJ?dchild=1,https://m.media-amazon.com/images/I/71m5e+aWJhL._AC_UL320_.jpg
15,EYEBOGLER,449,https://www.amazon.in/Seven-Rocks-Regular-XL-T51-NBIR-Blue-Indigo/dp/B07DMGPDVW?dchild=1,https://m.media-amazon.com/images/I/61IpAurpNXL._AC_UL320_.jpg
16,US Polo Association,"1,399",https://www.amazon.in/US-Polo-Association-Regular-USTS5773_Italian/dp/B077Y79RDN?dchild=1,https://m.media-amazon.com/images/I/81tSTmM4z0L._AC_UL320_.jpg
17,STYLENSE,299,https://www.amazon.in/Veirdo-Mens-Cotton-T-shirt-Large/dp/B07H358SXJ?dchild=1,https://m.media-amazon.com/images/I/71NURtpEwOL._AC_UL320_.jpg
18,KGB,599,https://www.amazon.in/KGB-Shirts-Sleeves-Collar-Pocket/dp/B07X912YHJ?dchild=1,https://m.media-amazon.com/images/I/51EResmdqsL._AC_UL320_.jpg
19,JUGULAR,249,https://www.amazon.in/JUGULAR-Printed-Olive-Green-Large/dp/B07RN75LZ8?dchild=1,https://m.media-amazon.com/images/I/61KPE0-uBPL._AC_UL320_.jpg
20,EYEBOGLER,449,https://www.amazon.in/EYEBOGLER-Regular-T-Shirt-L-T91-KMWM-Melange-Wine/dp/B07RWD834S?dchild=1,https://m.media-amazon.com/images/I/61mlWcgzsYL._AC_UL320_.jpg
21,BULLMER,698,https://www.amazon.in/BULLMER-Halfsleeve-Printed-Cotton-Tshirt/dp/B0892S5QB5?dchild=1,https://m.media-amazon.com/images/I/61WO5U4TOAL._AC_UL320_.jpg
22,KIPA,60,https://www.amazon.in/KIPA-Unisex-Never-T-Shirt-Medium/dp/B088ZYRWNH?dchild=1,https://m.media-amazon.com/images/I/71t5E7H7TsL._AC_UL320_.jpg
23,Veirdo,249,https://www.amazon.in/Veirdo-Mens-Cotton-T-Shirt-White_Medium/dp/B01N595PSO?dchild=1,https://m.media-amazon.com/images/I/710Nz0GBUAL._AC_UL320_.jpg
24,US Polo Association,499,https://www.amazon.in/U-S-Polo-Assn-Regular-I633-179-PL_Olive_Medium/dp/B0793JLK9L?dchild=1,https://m.media-amazon.com/images/I/81nHQejfOjL._AC_UL320_.jpg
25,Seven Rocks,399,https://www.amazon.in/Seven-Rocks-Stylish-Panelled-M-T21-NBWH/dp/B07C7V5GCB?dchild=1,https://m.media-amazon.com/images/I/61g1AkKV2dL._AC_UL320_.jpg
26,US Polo Association,499,https://www.amazon.in/U-S-Polo-Assn-I638-978-PL_Blue-Melange_Large/dp/B0793LFJZP?dchild=1,https://m.media-amazon.com/images/I/81kzjhOHaiL._AC_UL320_.jpg
27,Max,559,https://www.amazon.in/Max-Mens-Solid-T-Shirt-SP20CNTRI01_Multicolor_S/dp/B08353Q499?dchild=1,https://m.media-amazon.com/images/I/81nqtPBlV8L._AC_UL320_.jpg
28,Katso,299,https://www.amazon.in/Katso-Mens-Cotton-Sleeve-Large/dp/B01LW6ONN2?dchild=1,https://m.media-amazon.com/images/I/81DXUJBlGJL._AC_UL320_.jpg
29,Maniac,367,https://www.amazon.in/Maniac-Fullsleeve-Printed-T-Shirt-Charcoal/dp/B07B2VVHNT?dchild=1,https://m.media-amazon.com/images/I/81jkcAeu1jL._AC_UL320_.jpg
30,Wrath,419,https://www.amazon.in/Wrath-Effortless-Triple-Blocked-T-Shirt/dp/B07RNM4SRD?dchild=1,https://m.media-amazon.com/images/I/61CHH37iR8L._AC_UL320_.jpg
31,Veirdo,299,https://www.amazon.in/Veirdo-Cotton-Tshirt-Large-White/dp/B07MXJVN7W?dchild=1,https://m.media-amazon.com/images/I/71+0SFJJFfL._AC_UL320_.jpg
32,US Polo Association,499,https://www.amazon.in/U-S-Polo-Assn-I633-003-PL_Grey-Melange_Medium/dp/B0793NHDYQ?dchild=1,https://m.media-amazon.com/images/I/61M8oKBUTxL._AC_UL320_.jpg
33,Black Collection,579,https://www.amazon.in/Black-Collection-Plain-T-Shirt-BCSA0002_Black_M/dp/B00WQO2DGC?dchild=1,https://m.media-amazon.com/images/I/61cuO5SabwL._AC_UL320_.jpg
